"Host","HostClass","HostOrder","HostFamily","HostGenus","ZoonoticHost","PathogenRichness","ZoonoticPathogenRichness","Pathogens","ZoonoticPathogens","HostCriteria"
"treron sieboldii","aves","columbiformes","columbidae","treron",TRUE,1,1,"escherichia coli","escherichia coli","Broad (serology, sequencing or isolation)"
"triacanthodes anomalus","actinopteri","tetraodontiformes","triacanthodidae","triacanthodes",FALSE,1,0,"spikefish actinovirus","","Broad (serology, sequencing or isolation)"
"triaenops afer","mammalia","chiroptera","rhinonycteridae","triaenops",FALSE,1,0,"nl63-related bat coronavirus strain btkynl63-9b","","Broad (serology, sequencing or isolation)"
"triaenops persicus","mammalia","chiroptera","rhinonycteridae","triaenops",FALSE,34,0,"paramyxovirus predict_pmv-11, paramyxovirus predict_pmv-12, paramyxovirus predict_pmv-16, paramyxovirus predict_pmv-26, paramyxovirus predict_pmv-57, predict_cov-29, predict_cov-63, predict_hv-15, predict_mastv-176, predict_mastv-177, predict_mastv-178, predict_mastv-179, predict_mastv-180, predict_mastv-181, predict_mastv-182, predict_mastv-201, predict_mastv-202, predict_mastv-203, predict_mastv-204, predict_mastv-205, predict_mastv-31, predict_mastv-33, predict_mastv-42, predict_mastv-43, predict_mastv-50, predict_mastv-51, predict_mastv-52, predict_mastv-53, predict_mastv-54, predict_mastv-81, predict_pmv-11, predict_pmv-16, predict_pmv-26, predict_rbdv-2","","Broad (serology, sequencing or isolation)"
"triakis scyllium","chondrichthyes","carcharhiniformes","triakidae","triakis",TRUE,1,1,"proteus vulgaris","proteus vulgaris","Broad (serology, sequencing or isolation)"
"trichechus inunguis","mammalia","sirenia","trichechidae","trichechus",TRUE,2,2,"mycobacterium marinum, mycobacteroides chelonae","mycobacterium marinum, mycobacteroides chelonae","Broad (serology, sequencing or isolation)"
"trichechus manatus","mammalia","sirenia","trichechidae","trichechus",TRUE,8,5,"acholeplasma laidlawii, mycobacterium kansasii, mycobacterium marinum, mycolicibacterium fortuitum, scedosporium apiospermum, cetacean morbillivirus, rhopapillomavirus 1, rhopapillomavirus 2","acholeplasma laidlawii, mycobacterium kansasii, mycobacterium marinum, mycolicibacterium fortuitum, scedosporium apiospermum","Broad (serology, sequencing or isolation)"
"trichiurus haumela","actinopteri","scombriformes","trichiuridae","trichiurus",FALSE,1,0,"piscine novirhabdovirus","","Broad (serology, sequencing or isolation)"
"trichiurus japonicus","actinopteri","scombriformes","trichiuridae","trichiurus",FALSE,1,0,"piscine novirhabdovirus","","Broad (serology, sequencing or isolation)"
"trichiurus lepturus","actinopteri","scombriformes","trichiuridae","trichiurus",FALSE,3,0,"anisakis typica, tentacularia coryphaenae, piscine novirhabdovirus","","Broad (serology, sequencing or isolation)"
"trichogaster fasciata","actinopteri","anabantiformes","osphronemidae","trichogaster",FALSE,1,0,"clinostomum piscidium","","Broad (serology, sequencing or isolation)"
"trichogaster labiosa","actinopteri","anabantiformes","osphronemidae","trichogaster",TRUE,1,1,"infectious spleen and kidney necrosis virus","infectious spleen and kidney necrosis virus","Broad (serology, sequencing or isolation)"
"trichogaster lalius","actinopteri","anabantiformes","osphronemidae","trichogaster",TRUE,2,1,"infectious pancreatic necrosis virus, infectious spleen and kidney necrosis virus","infectious spleen and kidney necrosis virus","Broad (serology, sequencing or isolation)"
"trichoglossus chlorolepidotus","aves","psittaciformes","psittaculidae","trichoglossus",FALSE,1,0,"beak and feather disease virus","","Broad (serology, sequencing or isolation)"
"trichoglossus euteles","aves","psittaciformes","psittaculidae","trichoglossus",FALSE,1,0,"beak and feather disease virus","","Broad (serology, sequencing or isolation)"
"trichoglossus forsteni","aves","psittaciformes","psittaculidae","trichoglossus",FALSE,1,0,"beak and feather disease virus","","Broad (serology, sequencing or isolation)"
"trichoglossus haematodus","aves","psittaciformes","psittaculidae","trichoglossus",TRUE,10,7,"[clostridium] piliforme, chlamydia psittaci, clostridium perfringens, clostridium tertium, erysipelothrix rhusiopathiae, mycobacterium genavense, salmonella enterica, beak and feather disease virus, psittacid alphaherpesvirus 1, psittacine aviadenovirus c","[clostridium] piliforme, chlamydia psittaci, clostridium perfringens, clostridium tertium, erysipelothrix rhusiopathiae, mycobacterium genavense, salmonella enterica","Broad (serology, sequencing or isolation)"
"trichoglossus moluccanus","aves","psittaciformes","psittaculidae","trichoglossus",FALSE,1,0,"beak and feather disease virus","","Broad (serology, sequencing or isolation)"
"trichoglossus rubritorquis","aves","psittaciformes","psittaculidae","trichoglossus",FALSE,1,0,"beak and feather disease virus","","Broad (serology, sequencing or isolation)"
"trichopodus leerii","actinopteri","anabantiformes","osphronemidae","trichopodus",TRUE,2,1,"infectious spleen and kidney necrosis virus, lymphocystis disease virus 1","infectious spleen and kidney necrosis virus","Broad (serology, sequencing or isolation)"
"trichopodus microlepis","actinopteri","anabantiformes","osphronemidae","trichopodus",TRUE,1,1,"infectious spleen and kidney necrosis virus","infectious spleen and kidney necrosis virus","Broad (serology, sequencing or isolation)"
"trichopodus pectoralis","actinopteri","anabantiformes","osphronemidae","trichopodus",TRUE,2,1,"edwardsiella tarda, lymphocystis disease virus 1","edwardsiella tarda","Broad (serology, sequencing or isolation)"
"trichopodus trichopterus","actinopteri","anabantiformes","osphronemidae","trichopodus",TRUE,3,2,"haplorchis pumilio, infectious spleen and kidney necrosis virus, lymphocystis disease virus 1","haplorchis pumilio, infectious spleen and kidney necrosis virus","Broad (serology, sequencing or isolation)"
"trichosurus vulpecula","mammalia","diprotodontia","phalangeridae","trichosurus",TRUE,10,6,"[clostridium] piliforme, listeria monocytogenes, mycobacterium tuberculosis, mycobacterium ulcerans, barmah forest virus, enterovirus f, kappaarterivirus wobum, possum atadenovirus a, ross river virus, whataroa virus","[clostridium] piliforme, listeria monocytogenes, mycobacterium tuberculosis, mycobacterium ulcerans, barmah forest virus, ross river virus","Broad (serology, sequencing or isolation)"
"trigla lucerna","actinopteri","perciformes","triglidae","trigla",FALSE,1,0,"trochopus pini","","Broad (serology, sequencing or isolation)"
"trimeresurus flavomaculatus","lepidosauria","squamata","viperidae","trimeresurus",FALSE,1,0,"reptilian ferlavirus","","Broad (serology, sequencing or isolation)"
"trimeresurus hageni","lepidosauria","squamata","viperidae","trimeresurus",FALSE,2,0,"snake atadenovirus a, squamate dependoparvovirus 1","","Broad (serology, sequencing or isolation)"
"trimeresurus macrops","lepidosauria","squamata","viperidae","trimeresurus",FALSE,1,0,"reptilian ferlavirus","","Broad (serology, sequencing or isolation)"
"trinectes maculatus","actinopteri","pleuronectiformes","achiridae","trinectes",FALSE,1,0,"infectious pancreatic necrosis virus","","Broad (serology, sequencing or isolation)"
"tringa brevipes","aves","charadriiformes","scolopacidae","tringa",TRUE,1,1,"yersinia frederiksenii","yersinia frederiksenii","Broad (serology, sequencing or isolation)"
"tringa flavipes","aves","charadriiformes","scolopacidae","tringa",TRUE,2,2,"staphylococcus aureus, avian orthoavulavirus 1","staphylococcus aureus, avian orthoavulavirus 1","Broad (serology, sequencing or isolation)"
"tringa glareola","aves","charadriiformes","scolopacidae","tringa",TRUE,3,3,"campylobacter jejuni, clostridium botulinum, influenza a virus","campylobacter jejuni, clostridium botulinum, influenza a virus","Broad (serology, sequencing or isolation)"
"tringa melanoleuca","aves","charadriiformes","scolopacidae","tringa",TRUE,1,1,"pasteurella multocida","pasteurella multocida","Broad (serology, sequencing or isolation)"
"tringa nebularia","aves","charadriiformes","scolopacidae","tringa",TRUE,1,1,"avastrovirus 2","avastrovirus 2","Broad (serology, sequencing or isolation)"
"tringa ochropus","aves","charadriiformes","scolopacidae","tringa",TRUE,1,1,"west nile virus","west nile virus","Broad (serology, sequencing or isolation)"
"tringa semipalmata","aves","charadriiformes","scolopacidae","tringa",TRUE,1,1,"influenza a virus","influenza a virus","Broad (serology, sequencing or isolation)"
"tringa totanus","aves","charadriiformes","scolopacidae","tringa",TRUE,5,5,"borreliella garinii, yersinia enterocolitica, yersinia intermedia, avian orthoavulavirus 1, influenza a virus","borreliella garinii, yersinia enterocolitica, yersinia intermedia, avian orthoavulavirus 1, influenza a virus","Broad (serology, sequencing or isolation)"
"trinomys iheringi","mammalia","rodentia","echimyidae","trinomys",TRUE,3,2,"trypanosoma cruzi, anopheles b orthobunyavirus, wyeomyia orthobunyavirus","trypanosoma cruzi, wyeomyia orthobunyavirus","Broad (serology, sequencing or isolation)"
"trioceros cristatus","lepidosauria","squamata","chamaeleonidae","trioceros",FALSE,1,0,"simplicimonas moskowitzi","","Broad (serology, sequencing or isolation)"
"trioceros ellioti","lepidosauria","squamata","chamaeleonidae","trioceros",TRUE,1,1,"salmonella enterica","salmonella enterica","Broad (serology, sequencing or isolation)"
"trioceros melleri","lepidosauria","squamata","chamaeleonidae","trioceros",FALSE,2,0,"monocercomonas colubrorum, frog virus 3","","Broad (serology, sequencing or isolation)"
"trioceros quadricornis","lepidosauria","squamata","chamaeleonidae","trioceros",FALSE,1,0,"rhabdias okuensis","","Broad (serology, sequencing or isolation)"
"trisopterus esmarkii","actinopteri","gadiformes","gadidae","trisopterus",FALSE,1,0,"piscine novirhabdovirus","","Broad (serology, sequencing or isolation)"
"trisopterus luscus","actinopteri","gadiformes","gadidae","trisopterus",FALSE,1,0,"diclidophora luscae","","Broad (serology, sequencing or isolation)"
"trisopterus minutus","actinopteri","gadiformes","gadidae","trisopterus",FALSE,4,0,"shewanella woodyi, vibrio azureus, piscine novirhabdovirus, redspotted grouper nervous necrosis virus","","Broad (serology, sequencing or isolation)"
"triturus marmoratus","amphibia","caudata","salamandridae","triturus",FALSE,1,0,"frog virus 3","","Broad (serology, sequencing or isolation)"
"troglodytes troglodytes","aves","passeriformes","certhiidae","troglodytes",TRUE,2,2,"campylobacter jejuni, yersinia pseudotuberculosis","campylobacter jejuni, yersinia pseudotuberculosis","Broad (serology, sequencing or isolation)"
"trogon viridis","aves","trogoniformes","trogonidae","trogon",TRUE,1,1,"mycobacterium celatum","mycobacterium celatum","Broad (serology, sequencing or isolation)"
"trogonophis wiegmanni","lepidosauria","squamata","trogonophidae","trogonophis",FALSE,1,0,"squamate dependoparvovirus 1","","Broad (serology, sequencing or isolation)"
"tropidophis melanurus","lepidosauria","squamata","tropidophiidae","tropidophis",FALSE,1,0,"monocercomonas colubrorum","","Broad (serology, sequencing or isolation)"
"tropidophorus grayi","lepidosauria","squamata","scincidae","tropidophorus",TRUE,1,1,"salmonella enterica","salmonella enterica","Broad (serology, sequencing or isolation)"
"tropidophoxinellus callensis","actinopteri","cypriniformes","leuciscidae","tropidophoxinellus",FALSE,1,0,"ligula intestinalis","","Broad (serology, sequencing or isolation)"
"trygonorrhina fasciata","chondrichthyes","rhinopristiformes","rhinobatidae","trygonorrhina",FALSE,5,0,"branchotenthes octohamatus, calicotyle australis, dollfusiella martini, pseudoleptobothrium aptychotremae, trimacracanthus aetobatidis","","Broad (serology, sequencing or isolation)"
"tscherskia triton","mammalia","rodentia","cricetidae","tscherskia",TRUE,7,7,"anaplasma phagocytophilum, francisella tularensis, yersinia enterocolitica, dabie bandavirus, gammapapillomavirus 13, hantaan orthohantavirus, seoul orthohantavirus","anaplasma phagocytophilum, francisella tularensis, yersinia enterocolitica, dabie bandavirus, gammapapillomavirus 13, hantaan orthohantavirus, seoul orthohantavirus","Broad (serology, sequencing or isolation)"
"tupaia belangeri","mammalia","scandentia","tupaiidae","tupaia",FALSE,6,0,"tritrichomonas mobilensis, torque teno tupaia virus, tree shrew mastadenovirus a, tupaia narmovirus, tupaia tupavirus, tupaiid betaherpesvirus 1","","Broad (serology, sequencing or isolation)"
"tupaia chinensis","mammalia","scandentia","tupaiidae","tupaia",FALSE,1,0,"torque teno tupaia virus","","Broad (serology, sequencing or isolation)"
"tupaia glis","mammalia","scandentia","tupaiidae","tupaia",TRUE,11,3,"orientia tsutsugamushi, mammalian orthoreovirus, orthohepevirus a, predict_hv-121, predict_hv-51, predict_hv-82, predict_hv-83, predict_hv-95, predict_hv-96, predict_hv-97, tree shrew mastadenovirus a","orientia tsutsugamushi, mammalian orthoreovirus, orthohepevirus a","Broad (serology, sequencing or isolation)"
"tupaia tana","mammalia","scandentia","tupaiidae","tupaia",FALSE,2,0,"predict_hv-83, predict_hv-96","","Broad (serology, sequencing or isolation)"
"turdus amaurochalinus","aves","passeriformes","turdidae","turdus",TRUE,1,1,"chlamydia psittaci","chlamydia psittaci","Broad (serology, sequencing or isolation)"
"turdus grayi","aves","passeriformes","turdidae","turdus",TRUE,2,2,"avian orthoavulavirus 1, venezuelan equine encephalitis virus","avian orthoavulavirus 1, venezuelan equine encephalitis virus","Broad (serology, sequencing or isolation)"
"turdus hortulorum","aves","passeriformes","turdidae","turdus",TRUE,3,1,"avian coronavirus, oscivirus a, passerivirus a","avian coronavirus","Broad (serology, sequencing or isolation)"
"turdus iliacus","aves","passeriformes","turdidae","turdus",TRUE,5,5,"campylobacter jejuni, yersinia pseudotuberculosis, japanese encephalitis virus, tick-borne encephalitis virus, usutu virus","campylobacter jejuni, yersinia pseudotuberculosis, japanese encephalitis virus, tick-borne encephalitis virus, usutu virus","Broad (serology, sequencing or isolation)"
"turdus libonyana","aves","passeriformes","turdidae","turdus",TRUE,3,1,"arumowot phlebovirus, mpoko orthobunyavirus, usutu virus","usutu virus","Broad (serology, sequencing or isolation)"
"turdus merula","aves","passeriformes","turdidae","turdus",TRUE,24,14,"achromobacter xylosoxidans, borreliella turdi, campylobacter jejuni, erysipelothrix rhusiopathiae, escherichia coli, mycoplasma sturni, yersinia enterocolitica, yersinia frederiksenii, yersinia intermedia, yersinia kristensenii, yersinia pseudotuberculosis, dilepis undula, leucochloridium perturbatum, haemoproteus minutus, plasmodium elongatum, plasmodium rouxi, avian orthoavulavirus 1, blackbird associated gemykibivirus 1, japanese encephalitis virus, sindbis virus, usutu virus, uukuniemi uukuvirus, west nile virus, whataroa virus","achromobacter xylosoxidans, campylobacter jejuni, erysipelothrix rhusiopathiae, escherichia coli, yersinia enterocolitica, yersinia frederiksenii, yersinia intermedia, yersinia kristensenii, yersinia pseudotuberculosis, avian orthoavulavirus 1, japanese encephalitis virus, sindbis virus, usutu virus, west nile virus","Broad (serology, sequencing or isolation)"
